PM:Channel,row,col
C1:CH12,0,2.175
C1:CH11,0,3.175
C1:CH08,0,4.250
C1:CH07,0,5.250
C1:CH10,1,2.175
C1:CH09,1,3.175
C1:CH06,1,4.250
C1:CH05,1,5.250
C1:CH04,2.125,4.250
C1:CH03,2.125,5.250
C1:CH02,3.125,4.250
C1:CH01,3.125,5.250
C2:CH07,0,6.375
C2:CH08,0,7.375
C2:CH11,0,8.5
C2:CH12,0,9.5
C2:CH05,1,6.375
C2:CH06,1,7.375
C2:CH09,1,8.5
C2:CH10,1,9.5
C2:CH03,2.125,6.375
C2:CH04,2.125,7.375
C2:CH01,3.125,6.375
C2:CH02,3.125,7.375
C8:CH06,2.125,8.5
C8:CH08,2.125,9.5
C8:CH05,3.125,8.5
C8:CH07,3.125,9.5
C3:CH10,2.125,10.675
C3:CH12,2.125,11.675
C3:CH09,3.125,10.675
C3:CH11,3.125,11.675
C3:CH02,4.250,8.5
C3:CH04,4.250,9.5
C3:CH06,4.250,10.675
C3:CH08,4.250,11.675
C3:CH01,5.250,8.5
C3:CH03,5.250,9.5
C3:CH05,5.250,10.675
C3:CH07,5.250,11.675
C4:CH01,6.375,8.5
C4:CH03,6.375,9.5
C4:CH05,6.375,10.675
C4:CH07,6.375,11.675
C4:CH02,7.375,8.5
C4:CH04,7.375,9.5
C4:CH06,7.375,10.675
C4:CH08,7.375,11.675
C4:CH09,8.5,10.675
C4:CH11,8.5,11.675
C4:CH10,9.5,10.675
C4:CH12,9.5,11.675
C9:CH01,8.5,8.5
C9:CH02,8.5,9.5
C9:CH03,9.5,8.5
C9:CH04,9.5,9.5
C5:CH01,8.5,6.375
C5:CH02,8.5,7.375
C5:CH03,9.5,6.375
C5:CH04,9.5,7.375
C5:CH05,10.675,6.375
C5:CH06,10.675,7.375
C5:CH09,10.675,8.5
C5:CH10,10.675,9.5
C5:CH07,11.675,6.375
C5:CH08,11.675,7.375
C5:CH11,11.675,8.5
C5:CH12,11.675,9.5
C6:CH02,8.5,4.250
C6:CH01,8.5,5.250
C6:CH04,9.5,4.250
C6:CH03,9.5,5.250
C6:CH10,10.675,2.175
C6:CH09,10.675,3.175
C6:CH06,10.675,4.250
C6:CH05,10.675,5.250
C6:CH12,11.675,2.175
C6:CH11,11.675,3.175
C6:CH08,11.675,4.250
C6:CH07,11.675,5.250
C8:CH11,8.5,2.175
C8:CH09,8.5,3.175
C8:CH12,9.5,2.175
C8:CH10,9.5,3.175
C7:CH07,6.375,0
C7:CH05,6.375,1
C7:CH03,6.375,2.175
C7:CH01,6.375,3.175
C7:CH08,7.375,0
C7:CH06,7.375,1
C7:CH04,7.375,2.175
C7:CH02,7.375,3.175
C7:CH11,8.5,0
C7:CH09,8.5,1
C7:CH12,9.5,0
C7:CH10,9.5,1
C0:CH12,2.125,0
C0:CH10,2.125,1
C0:CH11,3.125,0
C0:CH09,3.125,1
C0:CH08,4.250,0
C0:CH06,4.250,1
C0:CH04,4.250,2.175
C0:CH02,4.250,3.175
C0:CH07,5.250,0
C0:CH05,5.250,1
C0:CH03,5.250,2.175
C0:CH01,5.250,3.175
C8:CH04,2.125,2.175
C8:CH03,2.125,3.175
C8:CH02,3.125,2.175
C8:CH01,3.125,3.175
